player,team_id,yr,prediction
"Vasquez,Greivis",MIL,2016,3
"Watson,C.J.",ORL,2016,3
"Weber,Briante",TOT,2016,3
"Weber,Briante",MEM,2016,3
"Williams,Marvin",CHO,2016,3
"Winslow,Justise",MIA,2016,3
"World Peace,Metta",LAL,2016,3
"Anderson,Ryan",NOP,2015,4
"Barea,J.J.",DAL,2015,4
"Beal,Bradley",WAS,2015,4
"Brooks,Aaron",CHI,2015,4
"Bryant,Kobe",LAL,2015,4
"Burke,Trey",UTA,2015,4
"Burks,Alec",UTA,2015,4
"Canaan,Isaiah",TOT,2015,4
"Canaan,Isaiah",PHI,2015,4
"Crawford,Jamal",LAC,2015,4
"Curry,Stephen",GSW,2015,4
"Gallinari,Danilo",DEN,2015,4
"George,Paul",IND,2015,4
"Green,Gerald",PHO,2015,4
"Green,Jeff",TOT,2015,4
"Green,Jeff",BOS,2015,4
"Green,Jeff",MEM,2015,4
"Hardaway,Tim",NYK,2015,4
"Hayward,Gordon",UTA,2015,4
"Kilpatrick,Sean",MIN,2015,4
"Knight,Brandon",TOT,2015,4
"Knight,Brandon",MIL,2015,4
"Knight,Brandon",PHO,2015,4
"LaVine,Zach",MIN,2015,4
"Lillard,Damian",POR,2015,4
"Martin,Kevin",MIN,2015,4
"Mayo,O.J.",MIL,2015,4
"McCollum,C.J.",POR,2015,4
"Miles,C.J.",IND,2015,4
"Neal,Gary",TOT,2015,4
"Neal,Gary",CHO,2015,4
"Neal,Gary",MIN,2015,4
"Nowitzki,Dirk",DAL,2015,4
"Price,A.J.",IND,2015,4
"Redick,J.J.",LAC,2015,4
"Shved,Alexey",TOT,2015,4
"Shved,Alexey",PHI,2015,4
"Shved,Alexey",NYK,2015,4
"Teletovic,Mirza",BRK,2015,4
"Thomas,Isaiah",TOT,2015,4
"Thomas,Isaiah",PHO,2015,4
"Thomas,Isaiah",BOS,2015,4
"Thompson,Klay",GSW,2015,4
"Thornton,Marcus",TOT,2015,4
"Thornton,Marcus",BOS,2015,4
"Williams,Lou",TOR,2015,4
"Williams,Mo",TOT,2015,4
"Williams,Mo",MIN,2015,4
"Williams,Mo",CHO,2015,4
"Young,Nick",LAL,2015,4
"Anderson,Ryan",NOP,2016,4
"Barea,J.J.",DAL,2016,4
"Beal,Bradley",WAS,2016,4
"Booker,Devin",PHO,2016,4
"Brooks,Aaron",CHI,2016,4
"Bryant,Kobe",LAL,2016,4
"Burke,Trey",UTA,2016,4
"Burks,Alec",UTA,2016,4
"Canaan,Isaiah",PHI,2016,4
"Crawford,Jamal",LAC,2016,4
"Curry,Stephen",GSW,2016,4
"Gallinari,Danilo",DEN,2016,4
"George,Paul",IND,2016,4
"Green,Gerald",MIA,2016,4
"Green,Jeff",TOT,2016,4
"Green,Jeff",MEM,2016,4
"Green,Jeff",LAC,2016,4
"Hardaway,Tim",ATL,2016,4
"Hayward,Gordon",UTA,2016,4
"Kilpatrick,Sean",TOT,2016,4
"Kilpatrick,Sean",BRK,2016,4
"Knight,Brandon",PHO,2016,4
"LaVine,Zach",MIN,2016,4
"Lillard,Damian",POR,2016,4
"Martin,Kevin",TOT,2016,4
"Martin,Kevin",MIN,2016,4
"Martin,Kevin",SAS,2016,4
"Mayo,O.J.",MIL,2016,4
"McCollum,C.J.",POR,2016,4
"Miles,C.J.",IND,2016,4
"Neal,Gary",WAS,2016,4
"Nowitzki,Dirk",DAL,2016,4
"Redick,J.J.",LAC,2016,4
"Teletovic,Mirza",PHO,2016,4
"Thomas,Isaiah",BOS,2016,4
"Thompson,Klay",GSW,2016,4
"Thornton,Marcus",TOT,2016,4
"Thornton,Marcus",HOU,2016,4
"Thornton,Marcus",WAS,2016,4
"Williams,Lou",LAL,2016,4
"Williams,Mo",CLE,2016,4
"Young,Nick",LAL,2016,4
"Adams,Steven",OKC,2015,5
"Allen,Lavoy",IND,2015,5
"Aminu,Al-Farouq",DAL,2015,5
"Amundson,Lou",TOT,2015,5
"Amundson,Lou",NYK,2015,5
"Andersen,Chris",MIA,2015,5
"Asik,Omer",NOP,2015,5
"Bass,Brandon",BOS,2015,5
"Biyombo,Bismack",CHO,2015,5
"Black,Tarik",TOT,2015,5
"Black,Tarik",HOU,2015,5
"Black,Tarik",LAL,2015,5
"Bogut,Andrew",GSW,2015,5
"Booker,Trevor",UTA,2015,5
"Chandler,Tyson",DAL,2015,5
"Collison,Nick",OKC,2015,5
"Cunningham,Dante",NOP,2015,5
"Dalembert,Samuel",NYK,2015,5
"Davis,Ed",LAL,2015,5
"Dieng,Gorgui",MIN,2015,5
