Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
71,T. Allen | M. Conley | M. Gasol | J. Green | Z. Randolph,MEM,2015-16,18,166.6,304,307,88,-14,-9,-0.036,-21,-49,-0.074,-0.073,12,17,-0.01,-37
72,E. Fournier | T. Harris | V. Oladipo | E. Payton | N. Vucevic,ORL,2015-16,21,165.3,328,327,95.1,-11,-4,-0.031,-13,-26,-0.07,-0.052,-3,-10,0.076,-38
73,M. Dellavedova | L. James | K. Love | T. Mozgov | J. Smith,CLE,2015-16,36,163,308,311,91.2,-4,-29,0.034,6,10,0.023,0.051,-2,0,-0.029,-4
74,N. Batum | P. Hairston | A. Jefferson | K. Walker | M. Williams,CHO,2015-16,14,161.6,319,320,94.9,5,16,-0.008,16,27,0.069,0.016,5,0,0.116,31
75,A. Baynes | S. Blake | S. Johnson | M. Morris | A. Tolliver,DET,2015-16,27,159.7,301,304,90.9,11,8,0.028,18,31,0.086,0.06,-1,9,-0.159,39
76,W. Johnson | D. Jordan | L. Mbah a Moute | C. Paul | J. Redick,LAC,2015-16,31,158.4,316,312,95.2,12,-20,0.072,13,39,-0.002,0.099,12,33,-0.156,49
77,A. Bogut | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,2015-16,48,156.3,314,313,96.3,27,-36,0.159,36,55,0.122,0.235,10,11,0.033,100
78,M. Ellis | P. George | G. Hill | J. Hill | M. Turner,IND,2015-16,26,155.7,311,315,96.5,2,5,-0.001,3,1,0.042,0.003,-31,-45,0.004,-24
79,B. Griffin | D. Jordan | C. Paul | J. Redick | L. Stephenson,LAC,2015-16,19,155.2,316,315,97.6,25,-33,0.146,-3,-28,0.108,0.146,17,36,-0.095,64
80,B. Bogdanovic | W. Ellington | B. Lopez | D. Sloan | T. Young,BRK,2015-16,21,155.2,307,301,94,-19,-34,-0.012,1,-10,0.068,-0.006,19,28,-0.119,-18
81,L. Deng | G. Dragic | D. Wade | H. Whiteside | J. Winslow,MIA,2015-16,33,155.1,316,315,97.6,17,-3,0.067,-5,-15,-0.02,0.058,8,-3,0.127,37
82,L. James | K. Love | T. Mozgov | J. Smith | M. Williams,CLE,2015-16,15,153.9,300,295,92.8,4,-9,0.03,12,21,0.07,0.054,-8,1,-0.181,12
83,D. DeRozan | K. Lowry | N. Powell | L. Scola | J. Valanciunas,TOR,2015-16,15,150,275,272,87.5,-6,1,-0.027,-11,-5,-0.118,-0.05,6,-5,0.17,-17
84,J. Butler | P. Gasol | T. Gibson | N. Mirotic | D. Rose,CHI,2015-16,15,145.7,286,290,94.9,-6,-40,0.05,-7,-6,-0.075,0.044,18,11,0.185,-1
85,N. Bjelica | G. Dieng | Z. LaVine | K. Martin | S. Muhammad,MIN,2015-16,19,143.9,298,296,99.1,-13,-17,-0.023,-6,-8,-0.05,-0.033,28,18,0.172,-4
86,Q. Acy | D. Cousins | R. Gay | B. McLemore | R. Rondo,SAC,2015-16,13,142.5,302,299,101.2,4,-30,0.07,-12,-21,-0.048,0.054,15,20,-0.008,11
87,H. Barnes | S. Curry | F. Ezeli | D. Green | K. Thompson,GSW,2015-16,16,141.5,287,287,97.3,5,3,0.014,15,41,-0.042,0.042,-4,-5,-0.002,21
88,B. Biyombo | D. DeRozan | C. Joseph | K. Lowry | P. Patterson,TOR,2015-16,47,141.4,268,276,92.4,0,-55,0.104,-10,-45,0.076,0.096,46,65,-0.046,36
89,A. Gordon | T. Harris | V. Oladipo | E. Payton | N. Vucevic,ORL,2015-16,14,141.3,284,284,96.5,2,25,-0.038,-16,-20,-0.131,-0.074,-13,-6,-0.119,-25
90,B. Beal | M. Gortat | K. Humphries | O. Porter | J. Wall,WAS,2015-16,11,138.2,291,290,100.9,-12,-4,-0.04,-3,5,-0.064,-0.045,-2,2,-0.071,-29
91,G. Antetokounmpo | O. Mayo | K. Middleton | G. Monroe | J. Parker,MIL,2015-16,19,134.7,278,280,99.4,17,-2,0.074,-4,-43,0.211,0.066,8,7,0.04,38
92,A. Bradley | J. Jerebko | K. Olynyk | M. Smart | E. Turner,BOS,2015-16,21,133.3,265,262,94.9,21,31,0.028,16,25,0.08,0.054,5,7,-0.008,63
93,G. Antetokounmpo | O. Mayo | K. Middleton | J. Parker | M. Plumlee,MIL,2015-16,12,133.2,262,264,94.8,10,9,0.024,-11,-37,0.068,-0.001,-12,-20,0.064,-3
94,O. Casspi | D. Collison | D. Cousins | R. Gay | R. Rondo,SAC,2015-16,31,133.2,281,273,99.8,14,-17,0.09,-8,-27,-0.002,0.077,22,25,0.039,42
95,A. Crabbe | E. Davis | M. Harkless | G. Henderson | C. McCollum,POR,2015-16,28,131.6,258,257,93.9,5,18,-0.012,-8,-2,-0.106,-0.034,1,-6,0.097,3
96,O. Asik | A. Davis | T. Evans | A. Gee | E. Gordon,NOP,2015-16,16,131.2,247,243,89.6,-7,-2,-0.026,-5,-9,-0.027,-0.037,2,-2,0.078,-17
97,A. Aminu | A. Crabbe | D. Lillard | C. McCollum | M. Plumlee,POR,2015-16,42,130.6,271,265,98.5,12,36,-0.015,0,20,-0.07,-0.022,1,-15,0.129,25
98,J. Crawford | W. Johnson | D. Jordan | C. Paul | J. Redick,LAC,2015-16,39,130.1,267,254,96.1,21,17,0.058,5,28,-0.068,0.065,20,37,-0.093,67
99,B. Biyombo | D. Carroll | D. DeRozan | K. Lowry | L. Scola,TOR,2015-16,18,129.7,244,244,90.3,-5,9,-0.042,-11,-20,-0.044,-0.07,-1,-2,0.013,-22
100,A. Crabbe | E. Davis | G. Henderson | M. Leonard | D. Lillard,POR,2015-16,30,129.6,264,262,97.4,15,6,0.053,9,23,0.007,0.07,1,-11,0.136,40
101,J. Butler | P. Gasol | D. McDermott | N. Mirotic | D. Rose,CHI,2015-16,34,129.2,286,276,104.4,10,-11,0.061,7,-2,0.132,0.077,0,-2,0.021,27
102,K. Durant | S. Ibaka | E. Kanter | D. Waiters | R. Westbrook,OKC,2015-16,39,129.2,253,263,95.9,12,20,0.009,0,3,-0.024,0.005,12,4,0.107,36
103,N. Batum | J. Lin | K. Walker | M. Williams | C. Zeller,CHO,2015-16,33,128.7,265,269,99.6,-1,4,-0.012,4,13,0,-0.004,12,20,-0.045,14
104,E. Bledsoe | B. Knight | A. Len | J. Leuer | P. Tucker,PHO,2015-16,14,127.9,254,255,95.5,7,-4,0.038,-4,-1,-0.056,0.03,-7,-8,-0.022,3
105,A. Bradley | A. Johnson | J. Sullinger | I. Thomas | E. Turner,BOS,2015-16,27,127.1,257,259,97.5,12,9,0.034,-11,-14,-0.096,0.008,18,24,-0.017,31
106,D. Booker | T. Chandler | B. Knight | A. Len | P. Tucker,PHO,2015-16,12,126.3,259,261,98.8,-13,-13,-0.031,-8,0,-0.136,-0.046,-10,-15,0.04,-44
107,S. Curry | F. Ezeli | D. Green | A. Iguodala | K. Thompson,GSW,2015-16,35,125.5,271,273,104,22,-16,0.128,18,24,0.115,0.171,23,33,-0.016,85
108,K. Garnett | K. Martin | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,13,122.5,241,243,94.9,-9,-15,-0.011,-10,-25,-0.02,-0.032,14,21,-0.034,-14
109,M. Gortat | M. Morris | O. Porter | G. Temple | J. Wall,WAS,2015-16,20,121.8,240,243,95.1,8,7,0.024,0,7,-0.046,0.022,-10,-22,0.123,6
110,L. Aldridge | T. Duncan | M. Ginobili | K. Leonard | T. Parker,SAS,2015-16,34,121.3,238,233,93.2,23,21,0.068,-10,-16,-0.099,0.04,9,-5,0.211,45
111,K. Faried | D. Gallinari | G. Harris | J. Hickson | E. Mudiay,DEN,2015-16,9,120.6,238,234,93.9,-2,4,-0.017,-6,-15,-0.003,-0.031,0,8,-0.127,-10
112,L. Galloway | J. Grant | K. O'Quinn | L. Thomas | D. Williams,NYK,2015-16,28,114.7,226,230,95.4,-14,-9,-0.052,-3,-13,0.035,-0.057,20,16,0.127,-11
